TID,EN
TID_HINT_VOLLEYBALL_PUSH_BALL,Доторкнися до <cdaa520>м'яча</c>!
TID_HINT_VOLLEYBALL_RETURN_BALL,"Будьте там, де приземлиться <cdaa520>м’яч</c>, щоб відправити його назад!"
TID_HINT_VOLLEYBALL_PREVENT_RETURN,"Тримайте суперників подалі від <cdaa520>м’яча</c>, щоб приземлити його і забити!"
TID_HINT_HOLD_THE_BALL_TAKE_BALL,Отримайте <cdaa520>трофей</c>!
TID_HINT_HOLD_THE_BALL_PROTECT,Захистіть носія <cdaa520>trophy</c>!
TID_HINT_HOLD_THE_BALL_HOLD_ON,Тримай<cdaa520>трофей</c>!
TID_HINT_GET_BALL,Отримайте <cdaa520>м'яч</c>!
TID_LASER_BALL_INTRO_TEXT,"Забийте два голи, щоб перемогти!"
TID_AFK_WARNING,"Попередження про холостий режим! Будь ласка, рухайтеся!"
TID_AFK_DISCONNECTED_MSG,Ви були відключені від битви через непрацездатність або погану мережу
TID_AFK_BANNED_MSG,Вам заборонено брати участь у поточній битві через непрацездатність або погану мережу. Після завершення битви вам буде дозволено повернутися в гру.
TID_AFK_DISCONNECTED_TITLE,Відключення в режимі очікування
TID_AFK_BANNED_TITLE,Заборонений до бою
TID_AFK_RELOAD,Перезавантажити
TID_GAME_MODE_7,ГРА ПРОТИ ВЕЛЕТНЯ
TID_GAME_MODE_7_DESC,"П’ятеро гравців намагаються перемогти ВЕЛИКОГО БРАВЛЕРА.\n\nЯк ВЕЛИКИЙ БРАВЛЕР, ви матимете величезну перевагу в силі та величезну кількість здоров’я. Киньте виклик мисливцям і залишайтеся в грі якомога довше!\n\nЯк одному з п’яти мисливців, вам потрібно буде працювати разом зі своєю командою, щоб знищити ВЕЛИКОГО БРАВЛЕРА, перш ніж закінчиться час!"
TID_BOSS_INTRO_TEXT_ATTACK,Перемогти ВЕЛИКОГО БРАВЛЕРА!
TID_BOSS_INTRO_TEXT_DEFEND,ВИ ВЕЛИКИЙ БРАВЛЕР!
TID_BOSS_1,Каньйон Каламіті
TID_SEASON_END_POPUP_TITLE,ЛІГА ТРОФЕЇВ ЗАВЕРШИЛАСЯ
TID_SEASON_END_POPUP_REWARD,НАГОРОДА ЛІГИ ТРОФЕЇВ
TID_SEASON_END_POPUP_GOLD_VALUE,<VALUE>
TID_COIN_META_MIGRATION_TITLE,Важливе повідомлення
TID_COIN_META_MIGRATION_OK,ГРАТИ ПОЧАТКОВИЙ КУРС
TID_COIN_META_MIGRATION_TXT_1,"Бравл Старс має нову систему оновлень, за допомогою якої Бравлери можуть підвищувати рівень після отримання достатньої кількості балів сили. Ваш існуючий прогрес було перетворено на рівні бравлерів."
TID_COIN_META_MIGRATION_TXT_2,"Ви отримуєте коробки Brawl Box за невикористані токени оновлення та ще кілька, щоб переконатися, що ви не втратите прогрес."
TID_COIN_META_MIGRATION_TXT_3,Гра тепер проходить у ландшафтному режимі та керується подвійними джойстиками.
TID_COIN_META_MIGRATION_TXT_4,Монетний бустер тепер зник і перетворився на геми.
TID_BOLTS_MIGRATION_TITLE,Важливі Зміни!
TID_BOLTS_MIGRATION_OK,Ок
TID_BOLTS_MIGRATION_INFO,"Нова система оновлення Бравлерів більше не використовує Еліксир. Вам повернуто <BOLTS> токенів покращення за ваш Еліксир та попередні покращення Бравлерів. Використовуйте токени покращення, щоб покращити своїх Бравлерів!\n\nДублікати Бравлерів, а отже, і фішки були вилучені з гри. Вам повернуто <GEMS> ГЕМІВ за ваші фішки. Насолоджуйтесь!"
TID_BOLTS_MIGRATION_ELIXER_TOKEN,ВАШ ЕЛІКСИР СТАВ ТОКЕНАМИ ПОКРАЩЕНЬ
TID_BOLTS_MIGRATION_CHIP_GEM,ВАШІ ЧІПИ ВИГЛАШУВАЛИСЯ НА ГЕМИ
TID_STAT_HEALING_PER_SEC,Лікуваня за секунду
TID_STAT_DAMAGE_PER_CARD,Пошкодженя за секунду
TID_OVERTIME,Додатковий час!
TID_STARTER_PACK_XP_REQ,особлива пропозиція для отримання рівня досвіду <XPLEVEL>
TID_VALUE,Вартість
TID_SHOP_ONE_TIME_PURCHASE,Ця пропозиція - одноразова покупка!
TID_HINT_MAKE_GOAL_1,"Перетягніть <ccc0033>ЧЕРВОНИЙ ДЖОЙСТИК</c>, щоб націлити м'яч!"
TID_BALL_2,Потрійне ведення
TID_BALL_3,Пінхол-пант
TID_STARTER_PACK_1,Пак 5 Рівня
TID_STARTER_PACK_2,Пак 15 Рівня
TID_STARTER_PACK_3,Пак 25 Рівня
TID_IAP_XMAS2018_PACK,Вихідгий Пак
TID_IAP_XMAS2018_PACK_DESC,Хо Хо Хо!
TID_STARTER_PACK_0,Вітаєм Пак
TID_STARTER_PACK_0_DESC,Відсяткуйте початок подорожі Brawl Stars
TID_IAP_LNY2019_PACK,Місячна Бравл Акція
TID_IAP_LNY2019_PACK_DESC,З новим місячним роком!
TID_IAP_MARCH2019_PACK,Березнева пропозиція
TID_IAP_MARCH2019_PACK_DESC,Це одноразова пропозиція!
TID_IAP_REFRESHER_PACK_DESC,Це одноразова пропозиція!
TID_BLACKHOLE_DEFAULT_SKIN,За замовчуванням
TID_GOLD_CAP_HIT,Ліміт токенів досягненно
TID_GATCHA_BUTTON_BOX_STACK_FULL,Стак коробок повний
TID_COOP_1,Парк Пачинко
TID_GAME_MODE_8,РОБО-НАПАД
TID_GAME_MODE_8_DESC,"Захистіть сейф від жадібних Робо-бандитів!\n\nРоботи будуть йти за сейфом з усіх боків і в постійно зростаючій кількості. Робіть все можливе, щоб захищатися, доки таймер не закінчиться!\n\nСкладність Robo Rumble зростає поетапно, починаючи від НОРМАЛЬНОГО і закінчуючи БОЖЕЛЯВИМ 16, щоразу, коли вам вдається успішно захистити сейф."
TID_COOP_INTRO_TEXT,Захистіть сейф!
TID_SELECT_EVENT_POPUP_TITLE,Обери подію
TID_BARREL_BOT,ДЕРРІЛ
TID_BARREL_BOT_DESC,Дерріл має потужну атаку з подвійного дробовика. Його суператака — це безрозсудний кидок усередину його стрибкоподібної бочки!
TID_BARREL_BOT_WEAPON,ПОДВІЙНЕ ПІУ
TID_BARREL_BOT_WEAPON_DESC,"Двоствольні рушниці Дерріла виробляють два ступінчасті вибухи, що завдають великої шкоди з близької відстані."
TID_BARREL_BOT_ULTI,ПЕРЕВОРОТ
TID_BARREL_BOT_ULTI_DESC,"Дерріл котиться вперед у своїй бочці, відкидаючи ворогів, зменшуючи вхідну шкоду та відбиваючись від стін. Його Супер заряджається з часом!"
TID_ARTILLERY_DUDE,ПЕННІ
TID_ARTILLERY_DUDE_DESC,"Пенні стріляє мішками з монетами, пошкоджуючи ціль і всіх, хто стоїть позаду. Її супер — це гарматна вежа в стилі мінометів!"
TID_ARTILLERY_DUDE_WEAPON,ЗОЛОТИЙ КУЛАК
TID_ARTILLERY_DUDE_WEAPON_DESC,"Вистрілює мішечок штучного золота. Якщо мішечок потрапить у ворога, він лопне, і монети випадають на цілі за першим ворогом."
TID_ARTILLERY_DUDE_ULTI,СТАРИЙ ЛОБЕР
TID_ARTILLERY_DUDE_ULTI_DESC,"Пенні налаштовує свою гармату! Він може стріляти у ворогів на великій відстані, навіть якщо вони перебувають за укриттям."
TID_ITEM_NAME_SPECIAL,ПАСІВКА
TID_HERO_INFO_ITEM_LOCKED,Ви можете знайти це після рівня <LEVEL>
TID_HERO_INFO_LOCKED_INFO,Розблокуйте бравлера з Бравл Боксів
TID_HERO_INFO_LOCKED_INFO_RANK_TRACK,"Щоб розблокувати, отримайте <SCORE> трофеїв"
TID_SPEC_ABI_FREEZE,ВОЄННИЙ ШОК
TID_SPEC_ABI_BERSERKER,БЕРСЕРКЕР
TID_SPEC_SELF_DESTRUCT,ЗДАЧА
TID_SPEC_ABI_CACTUS_HEAL,УДОБРЕННЯ
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK,МЕДИЧНЕ ВИКОРИСТАННЯ
TID_SPEC_ABI_REPAIR_TURRET,ЕНЕРЖДАЙЗЕР
TID_SPEC_ABI_PET_LIFESTEAL,МЕДВІДЬ ЗІ МНОЮ
TID_SPEC_ABI_STEAL_SOULS,СТРАШНИЙ УРОЖАЙ
TID_SPEC_ABI_SPOT,КРУЖАЮЧИЙ ОРЕЛ
TID_SPEC_ABI_AMBUSH,ЗАСІТКА
TID_SPEC_ABI_BLACK_HOLE_MONSTER,ЧОРНИЙ ПОРТАЛ
TID_SPEC_ABI_SPEED,БЛАТНІ ЧЕРЕВИЧКИ
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK,МАМИНІ ОБІЙМИ
TID_SPEC_BOUNCED_BULLETS_STRONGER,СУПЕР СТРИБУНЦІ
TID_SPEC_ABI_FIRE_DOT_ULTI,ЕЛЬ Ф'ЮҐО
TID_SPEC_LAST_STAND,ЛЕБЕДІНА ПІСНЯ
TID_SPEC_BURN,БІЛЬШЕ РАКЕТ!
TID_SPEC_CRIPPLE,ЕКСТРА ТОКСИЧНИЙ
TID_SPEC_ABI_BARREL_DEFENSE,СТАЛЕВІ ОБРУЧІ
TID_SPEC_HEAL_MAIN_ATTACK,ЧУДОВА ПІСНЯ
TID_SPEC_ABI_FREEZE_DESC,Суперснаряди Шеллі сповільнюють ворогів на <c00cc00><VALUE1></c> секунд!
TID_SPEC_ABI_PREY_ON_THE_WEAK_DESC,Ворон завдає шкоди <c00cc00>+<VALUE2></c> своєю атакою та супер цілям із <VALUE1>% або менше здоров’я.
TID_SPEC_ABI_BERSERKER_DESC,"Коли здоров’я Була падає нижче <c00cc00><VALUE1>%</c>, його швидкість перезавантаження подвоюється!"
TID_SPEC_SELF_DESTRUCT_DESC,"Коли Динамайк переможений, він кидає шість паличок динаміту, завдаючи <c00cc00><VALUE1></c> шкоди кожна"
TID_SPEC_ABI_CACTUS_HEAL_DESC,"Після використання Super Spike відновлює <c00cc00><VALUE1></c> здоров’я за секунду, залишаючись у зоні дії."
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK_DESC,Барлі відновлює <c00cc00><VALUE1></c> здоров’я від кожної атаки.
TID_SPEC_ABI_REPAIR_TURRET_DESC,"Джессі може відремонтувати свою гарматну вежу на <c00cc00><VALUE1></c> її втраченого здоров’я, вдаривши її своєю атакою. ЛОГІКА"
TID_SPEC_ABI_PET_LIFESTEAL_DESC,"Ніта відновлює <c00cc00><VALUE1></c> здоров’я, коли її ведмідь вражає ворожого бравлера. Коли Ніта завдає шкоди ворожому бравлеру, її ведмідь відновлює <c00cc00><VALUE2></c> здоров’я."
TID_SPEC_ABI_STEAL_SOULS_DESC,"Мортіс поглинає сутність життя Бравлера, якого він вбиває, відновлюючи <c00cc00><VALUE1></c> своє здоров’я."
TID_SPEC_SPOT_FROM_AIR_DESC,"Використовуючи супер, Пайпер може з повітря помітити всіх ворогів, захованих у кущах."
TID_SPEC_HEAL_MAIN_ATTACK_DESC,"Коли атака Поко вражає дружніх бравлерів, вони лікуються на <c00cc00><VALUE1></c> здоров’я."
TID_SPEC_ABI_SPOT_DESC,"Бо помічає ворогів, захованих у кущах, на <c00cc00><VALUE1>%</c> відстані, ніж зазвичай."
TID_SPEC_ABI_AMBUSH_DESC,"Атака Пайпер завдає додаткової шкоди <c00cc00>+<VALUE1></c> (на максимальній відстані), коли вона схована в кущі."
TID_SPEC_ABI_BLACK_HOLE_MONSTER_DESC,"Суператака Тари відкриває вимірний портал! З'являється темна версія Тари, яка нападає на своїх ворогів."
TID_SPEC_ABI_TODO_DESC,Спеціальна здатність не визначена
TID_SPEC_ABI_SPEED_DESC,Швидкість пересування Кольта збільшена на <c00cc00><VALUE1>%</c>.
TID_SPEC_ABI_PUSHBACK_SELF_DESC,"Динамайк може підстрибувати на вибуховій хвилі своєї вибухівки, щоб перестрибувати через перешкоди!"
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK_DESC,"Щоразу, коли Пем вражає ворожих бравлерів за допомогою атаки, вона зцілює себе та дружніх бійців, по <c00cc00><VALUE1></c>."
TID_SPEC_BOUNCED_BULLETS_STRONGER_DESC,"Кулі Ріко, як атаки, так і супер, отримують наддув від першого відскоку і завдають +<c00cc00><VALUE1></c> шкоди!"
TID_SPEC_ABI_FIRE_DOT_ULTI_DESC,"Вороги, спіймані в Супер Ель Прімо, горять втрачаючи <c00cc00><VALUE1></c> здоров'я протягом 4 секунд."
TID_SPEC_LAST_STAND_DESC,"Поко грає свою лебедину пісню в той самий момент, коли закінчується його життя. Дружні бійці навколо нього відновлюють <c00cc00><VALUE1></c> здоров’я!"
TID_SPEC_BURN_DESC,РАКЕТНИЙ ДОЩ тепер висипає на <c00cc00><VALUE1>%</c> більше ракет.
TID_SPEC_ABI_BARREL_DEFENSE_DESC,"Після перекидання бочки вся шкода, яку отримує Дарріл, зменшується на <c00cc00><VALUE2>%</c> на <c00cc00><VALUE1></c> секунд."
TID_SPEC_CRIPPLE_DESC,"Вороняча отрута підриває сили ворогів, які завдають <c00cc00><VALUE1>%</c> менше шкоди під час отруєння."
TID_BATTLE_ROYALE_7,Подвійна Проблема
TID_GAME_MODE_9,ПОДВІЙНЕ ЗІТКАНЕННЯ
TID_GAME_MODE_9_COMBINED,ЗІТКНЕННЯ
TID_GAME_MODE_9_DESC,"Знищити інші чотири команди. Якщо ви зазнаєте поразки, ви відродитеся через деякий час, якщо ваш товариш по команді ще живий!"
TID_WAVE_APPROACHING,Хвиля <number>
TID_TEAMS_LEFT,Команд залишилося: <num>
TID_TEAM_MATE_RESPAWNING,Напарник вернеться: <num>
TID_BOSS_APPROACHING,Хвиля <number>: <ccc0000>Великий робот наближається!</c>
TID_COOP_2,Сталеві з'єднання
TID_BOSS_2,Зал Короля Кротів
TID_BEAR_DAMAGE,Шкода ведмедя
TID_BEAR_HEALTH,Здоров'я ведмедя
TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE_TEAM,Команда двох
TID_SPEC_ABI_PUSHBACK_SELF,ДІНО-СТРИБОК
TID_VIEW_PROFILE_BUTTON,Подивитися Профіль
TID_REPORT_PLAYER_BUTTON,ДОПОВІД
TID_CHAT_REPORT_CONFIRMATION_TITLE,Доповісти про <name>?
TID_CHAT_REPORT_CONFIRMATION,\n\nВи згідня щоб довісти <name> за непристойну поведінку?
TID_PLAYER_ALREADY_REPORTED,Про цього гравця вже повідомили!
TID_STARTER_PACK_4,Пак 35 Рівня
TID_NEED_HERO,Неможна купити Скін. Треба розблокувати Бравлера.
TID_EVENT_ENDING,<GAMEMODE> скоро закінчується!
TID_TEAM_DISPLAY_TITLE_CLAN,КЛУБНІ КОМАНДИ
TID_TEAM_DISPLAY_TITLE_FRIENDS,КОМАНДИ ДРУЗІВ
TID_TICKETS_REVEIVED,<AMOUNT> квитки на подію отримано!
TID_TUTORIAL_12,"У нас є ГЕМИ, їдемо до виходу!"
TID_NO_TARGET_HINT,Немає цілі для ШВИДКОЇ АТАКИ!
TID_CAN_NOT_AUTOSHOOT,Немає ШВИДКОЇ АТАКИ для цього супер
TID_VS,ПРОТИ
TID_VS_SHOWDOWN,Кожен бравлер сам за себе!
TID_HAS_LASER_BALL_HINT,"Не можна АВТОАТАЧИТИ, коли несете м'яч"
TID_CLAN_RESPONSE_44,Не вдалося приєднатися: Ти вже в клубі
TID_SHOTGUN_GIRL_SHORT_DESC,ВОЇН
TID_GUNSLINGER_SHORT_DESC,ВОЇН
TID_BULL_DUDE_SHORT_DESC,ТАНК
TID_ROCKET_GIRL_SHORT_DESC,ВОЇН
TID_TNT_DUDE_SHORT_DESC,ВОЇН
TID_LUCHADOR_SHORT_DESC,ТАНК
TID_TRICKSHOT_DUDE_SHORT_DESC,ВОЇН
TID_CACTUS_SHORT_DESC,ВОЇН
TID_BARKEEP_SHORT_DESC,ВОЇН
TID_MECHANIC_SHORT_DESC,ВОЇН
TID_SHAMAN_SHORT_DESC,ВОЇН
TID_UNDERTAKER_SHORT_DESC,АСАСІН
TID_CROW_SHORT_DESC,АСАСІН
TID_DEAD_MARIACHI_SHORT_DESC,ПІДТРИМКА
TID_BOW_DUDE_SHORT_DESC,ВОЇН
TID_SNIPER_SHORT_DESC,ВОЇН
TID_MINIGUN_DUDE_SHORT_DESC,ПІДТРИМКА
TID_BLACK_HOLE_SHORT_DESC,ВОЇН
TID_BARREL_BOT_SHORT_DESC,ГІБРИД
TID_CLAN_INTRO_SUGGESTED_CLANS,НАЙКРАЩІ КЛУБИ ДЛЯ ВАС
TID_CLAN_INTRO_CREATE_TITLE,ЧОМУ НЕ СТВОРИТИ СВІЙ?
TID_CLAN_INTRO_HEADER,КЛУБИ
TID_CLAN_INFO_TITLE,ІНФОРМАЦІЯ КЛУБУ
TID_CLAN_INFO_NO_DESCRIPTION,НЕМАЄ ОПИСУ КЛУБУ
TID_EVENT_POPUP_TITLE,ДАВАЙ ПОЧНЕМО
TID_GOLDRUSH_8,Сапфірові рівнини
TID_USE_AUTOFIRE_TUTORIAL,Натисни на <ccc0033> ЧЕРВОНИЙ ДЖОЙСТИК</c> щоб стрельнути на найблищого бравлера!
TID_BRAWL_BOX_INFO_1,"Великий Бокс дає нагороди, подібні до відкриття 3 Бравл Боксів. Однак Бали сили розподіляються між меншою кількістю бравлерів. Жетони спорядження можуть бути лише одного типу.\n\nВи отримуєте три випадкові розіграші, кожен з яких має такі ймовірності винагород:"
TID_BRAWL_BOX_INFO_2,"Кожний Бравл Бокс містить одне з наступного: новий Бравлер, Бали сили& монети, Токени щестернь & металолом, Гаджет або Пасівку. Крім того, ви також можете отримати бонусні подвійники токенів.\n\nІмовірності винагороди:"
TID_BRAWL_BOX_INFO_3,"МЕГА БОКС дає вам нагороди, подібні до відкриття 10 Бравл Боксів. Однак очки Балів Сили розподіляються між меншою кількістю Бравлерів. Жетони спорядження збираються в один тип жетона.\n\nВи отримуєте 10 випадкових розіграшів, кожен з яких має такі ймовірності винагороди:"
TID_BRAWL_BOX_INFO_CATEGORIES,\n\n<CATEGORY1> : <NUM1>%\nРідкісний Бравлер: <NUM2>%<GAR_HERO_1>\nСупер рідкісний Бравлер: <NUM3>%<GAR_HERO_2>\nЕпічний Бравлер: <NUM4>%<GAR_HERO_3>\nМіфічний Бравлер: <NUM5>%<GAR_HERO_4>\nLegendary Brawler : <NUM6>%<GAR_HERO_5>\nStar Power : <NUM7>%<GAR_STAR_POWER>\nGadget : <NUM8>%<GAR_ACCESSORY>\nGear Tokens: <NUM9>%
TID_BRAWL_BOX_INFO_FOOTER,"\n\nКрім того, кожен розіграш дає вам <TOKEN_DOUBLER>% шанс отримати подвоювання токена. Гаджети доступні лише після досягнення Бравлерів рівня сили 7. Пасівки доступні лише для Бравлерів з рівнем сили 9. Метало брухт та токени Шестерней доступні лише після досягнення Бравлерів рівня сили 10. Після розблокування Бравлерів <WCPP_BRAWLERS> буде <WCPP_CHANCE>% імовірності того, що бали потужності можуть бути призначені будь-якому Бравлеру. Після того, як ви розблокуєте всі нагороди певного типу, наприклад рідкісні бійці, ймовірність отримати всі інші нагороди зросте. Удача: щоб зробити відкриття Бравл Бокс більш справедливим, існує система удачі, яка впливає на ймовірність легендарних Бравлерів. З кожним розіграшем, який не дає вам нового Бравлера, ваша удача збільшується. Кожного разу, коли ви отримуєте нового Бравлера, ваша удача зменшується залежно від рідкості отриманого Бравлера. Коли удача достатньо велика, у вас вищий шанс отримати легендарного бійця, шанс не перевищуватиме <MAX_LEGENDARY>%. І навпаки, невелика удача означає, що у вас менше шансів отримати нового легендарного бійця. Ранні випаданя наперед визначені, щоб забезпечити справедливий старт для всіх."
TID_BRAWL_BOX_INFO_POWER_POINTS_AND_COINS,Очки Сили + Монетки
TID_BRAWL_BOX_INFO_POWER_POINTS_COINS_AND_SCRAP,Очки Сили + Монетки + Металолом
TID_BRAWL_BOX_INFO_COINS_AND_SCRAP,Монетки + Металолом
TID_BRAWL_BOX_INFO_COINS,Монетки
TID_BRAWL_BOX_INFO_GUARANTEED_HERO_IN,(guaranteed in <DRAWS> draws)
TID_BRAWL_BOX_INFO_GUARANTEED_STARPOWER_IN,(guaranteed in <DRAWS> draws)
TID_BRAWL_BOX_INFO_GUARANTEED_ACCESSORY_IN,(guaranteed in <DRAWS> draws)
TID_POWER_DROP_VALUE,+<VALUE>
TID_COLLECT,ОТРИМАТИ
TID_PAGE_FRIENDS_TITLE,ДРУЗІ
TID_PAGE_FRIENDS_TITLE2,Бийтись разом з Другом!
TID_PAGE_FRIENDS_ADD_FRIENDS,ДОДАТИ ДРУГА
TID_PAGE_FRIENDS_NO_FRIENDS_NO_LOGIN,"Підключіться до соціальних мереж або знайдіть друзів у грі, щоб пограти з ними!"
TID_PAGE_FRIENDS_NO_FRIENDS,"Підключіться до соціальних мереж або знайдіть друзів у грі, щоб пограти з ними!"
TID_FRIENDS_TITLE,<COUNT> друзів
TID_FRIENDS_TAB_1,ДРУЗІ
TID_FRIENDS_TAB_2,ПРОПОНУЄТЬСЯ
TID_FRIENDS_TAB_3,ЗАПРОШУЄ
TID_TOTAL,РАЗОМ
TID_BRAWL_BOX_INFO_TITLE_2,ІНФОРМАЦІЯ ДЛЯ БРАВЛБОКСА
TID_BRAWL_BOX_INFO_TITLE_3,ІНФОРМАЦІЯ МЕГА БОКС
TID_OFFER_ALSO_INCLUDES,ПРОПОЗИЦІЯ ТАКОЖ ВКЛЮЧАЄ
TID_OFFER_VALUE_TITLE,ВАРТІСТЬ
TID_OFFER_VALUE,+<VALUE>%
TID_SHOP_OFFER_COUNTDOWN,<TIME>
TID_USE_ULTI_TUTORIAL,Потягни <cff9900>ЖОВИТЙ ДЖОЙСТИК</c> щоб прицілитися
TID_HERO_STATS_TITLE,ІНОРМАЦІЯ ПРО БРАВЛЕРА:
TID_GATCHA_SCREEN_ITEMS_REMAINING,РЕЧЕЙ ЗАЛИШИЛОСЯ:
TID_GATCHA_SCREEN_BONUS_ITEMS_REMAINING,БОНУСІВ ЗАЛИШИЛОСЯ:
TID_GATCHA_SCREEN_YOU_GOT,ТИ ОТРИМАВ:
TID_GATCHA_SCREEN_BONUSES,БОНУСНІ РЕЧІ:
TID_GATCHA_SCREEN_SUMMARY_UNLOCKED,РОЗБЛОКУВАНО!
TID_HERO_LIST_ITEM_UPGRADE,Покращити
TID_SHOP_CLAMIMED,Купленно
TID_SHOP_OFFER_PURCHASE_ERROR_CLAIMED,Цей предмет уже купили
TID_ONLINE,ОНЛАЙН
TID_LEADERBOARD,ЛІДЕРИ
TID_NOT_ENOUGH_TICKETS_INFO,\n\nУ ТЕБЕ ЗАКІНЧИЛИСЯ КВИТКИ
TID_HERO_LIST_NEW,НОВЕ
TID_HAMMER_DUDE,ФРЕНК
TID_HOLD_PHONE_LIKE_THIS,ТРИМАЙ СВІЙ ПРИСТРІЙ ОТ ТАК
TID_HINT_FINGER_TAP_TAP,НАТИСНИ! НАТИСНИ!
TID_HINT_FINGER_DRAG,"ПЕРЕТЯГНИ, ЩОБ ПРИЦІЛИТИСЯ"
TID_MOVE_HERE,Ідіть сюди
TID_HINT_HEADER,ПІДКАЗКА :
TID_HINT_0,"Ви можете НАТИСНУТИ на <ccc0033>ЧЕРВОНИЙ ДЖОЙСТИК</c>, щоб ШКИДКО АТАКУВАТИ найближчого ворога."
TID_HINT_1,"Ви можете НАТИСНУТИ на <cff9900>ЖОВТИЙ ДЖОЙСТИК</c>, щоб ШВИДКО АТАКУВАТИ вашу суператаку у напрямку до найближчого ворога."
TID_HINT_2,"Ви можете перетягнути <ccc0033>ЧЕРВОНИЙ ДЖОЙСТИК</c>, щоб прицілити свої постріли."
TID_HINT_3,"Ви можете перетягнути <cff9900>ЖОВТИЙ ДЖОЙСТИК</c>, щоб прицілити свою суператаку."
TID_HINT_4,"Ви можете скасувати прицільний постріл, перетягнувши джойстик назад до середини."
TID_HINT_5,"Пошук матчів заснованений на трофеях Бравлера, з яким ви граєте, що дозволяє легко отримувати трофеї за допомогою нещодавно розблокованого Бравлера."
TID_HINT_6,"Якщо ви отримаєте більше Бравлерів, вам буде легше збільшити загальну кількість трофеїв і отримати більше нагород."
TID_HINT_7,"Постріли Пайпер завдають більше шкоди, чим далі вони рухаються."
TID_HINT_8,"Супер Барлі особливо потужна на короткій дистанції, оскільки пляшки приземляються на невеликій площі."
TID_HINT_9,"Щоразу, коли кулі Ріко відскакують, вони подорожують дальше."
TID_HINT_10,"Ви можете активувати <ccc0033>ЧЕРВОНИЙ ДЖОЙСТИК</c> в будь-якому місці праворуч на екрані, щоб стріляти."
TID_HINT_11,"Ваша атака і супер мають два режими стрільби: НАТИСНИ, щоб ШВИДКО АТАКУВАТИ і ПОТЯГНИ, щоб прицілитися."
TID_HINT_12,Націлювання ваших пострілів добре для ведення рухомої цілі.
TID_HINT_13,"ШВИДКА АТАКА добре підходить для швидкої реакції, коли у вас немає часу прицілитися."
TID_HINT_14,ШВИДКА АТАКА добре працює на близьких вам ворогів.
TID_HINT_15,"Коли ви сховані в кущі, вороги все одно можуть помітити вас, якщо підійдуть досить близько."
TID_HINT_16,ШВИДКА АТАКА стріляє прямо в бік найближчого ворога і не враховує переміщення противника.
TID_HINT_17,"Націлювання пострілів добре підходить для стрільби в кущі, щоб перевірити ворогів."
TID_HINT_18,"ШВИДКА АТАКА добре працює на ворогів, які стоять на місці."
TID_HINT_19,"ШВИДКА АТАКА добре працює на ворогів, які рухаються прямо до вас або від вас."
TID_HINT_20,"Коли ви перебуваєте в кущі, вороги можуть побачити вас, якщо ви атакуєте або отримуєте пошкодження."
TID_HINT_21,"Ви можете використовувати кущі, щоб сховатися від ворогів."
TID_HINT_22,"Коли ви використовуєте ШВИДКУ АТАКУ, воно стріляє з вашої зброї, навіть якщо в радіусі немає ворогів."
TID_VS_TUTORIAL,Зберіть усі <c50d050>ЕНЕРГЕТИКИ</c>!
TID_USE_MANUAL_FIRE_TUTORIAL,ПОТЯГНИ <ccc0033>ЧЕРВОНИЙ ДЖОЙСТИК</c> щоб прицілитися!
TID_TUTORIAL_GOOD_JOB_2,Хороша робота! <cff6633>ОРАНЖЕВІ СМУЖКИ</c> показують ваші боєприпаси. Я перезаряджаю якомога швидше.
TID_TUTORIAL_GOOD_JOB_3,Хороша робота! Атака ворогів заряджає вашу <cff9900>СУПЕРАТАКУ</c>!
TID_TUTORIAL_GOOD_JOB_4,Хороша робота!
TID_SPECTATE_PLAYER_BUTTON,Спостерігати
TID_SPECTATE_FAILED,Не вдалося спостерігати
TID_ACCOUNT_DISABLED_TEXT,Обліковий запис заблоковано
TID_ACCOUNT_DELETED_ON_REQUEST_TEXT,"Цей обліковий запис було вимкнено через запит на видалення, і його більше не можна відновити."
TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT,"Цей обліковий запис було вимкнено через бездіяльність, і його більше не можна відновити."
TID_ACCOUNT_DELETION_WARNING_TITLE,Попередження про видалення облікового запису
TID_ACCOUNT_DELETION_WARNING_TEXT,"Після вашого запиту ваш обліковий запис незабаром буде деактивовано. Якщо ви передумали, якнайшвидше зверніться до служби підтримки та підтримки, щоб скасувати свій запит."
TID_ACCOUNT_DELETION_WARNING_TEXT_PAST,"Після вашого запиту ваш обліковий запис незабаром буде деактивовано. Якщо ви передумали, якнайшвидше зверніться до служби підтримки та підтримки, щоб скасувати свій запит."
TID_ACCOUNT_DELETION_WARNING_CONTACT_PS,"Ви подали запит на видалення цього облікового запису. У вас залишився <час>, щоб скасувати видалення."
TID_ACCOUNT_DELETION_WARNING_BUTTON_CONTACT_PS,Зв'яжіться зі службою підтримки
TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN,Ви вже в цьому клубі!
TID_CONFIRM_CHANGE_CLAN_TITLE,Змінити клуб?
TID_CONFIRM_CHANGE_CLAN,Ви вже в Клубі! Ти дійсно хочеш змінити клуб?
