TID,DE
TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_1,Мішечок з монетами
TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_2,Мішок з монетами
TID_HERO_LVL_MATERIAL_RECEIVED,<СУМА> Куплені монети
TID_SHOP_DAILY_OFFERS,ЩОДЕННІ ОПЕРАЦІЇ
TID_SHOP_SKINS,Скіни
TID_SHOP_BRAWLIDAYS_SKINS,СКІНИ BRAWLIDAYS
TID_SHOP_LUNAR_BRAWL_SKINS,ШКУРИ МІСЯЧНОЇ БІЙКИ
TID_SHOP_BRAWLOWEEN_SKINS,BRAWL-O-WEEN SKINS
TID_SHOP_ARCHIVE_SKINS,СКІНИ З АРХІВУ
TID_SHOP_ARCHIVE_SKINS_RARE,РІДКІСНИЙ ШАНС!
TID_SHOP_ARCHIVE_SKINS_LAST,ОСТАННІЙ ШАНС!
TID_SHOP_LEGENDARY_SKINS,ЗОРЯНИЙ МАГАЗИН
TID_SHOP_STAR_BOXES,ЗОРЯНІ КОРОБКИ
TID_SHOP_FREE,Безкоштовно
TID_SHOP_CLAIM,ПОЗОВ
TID_SHOP_NEW_DAILY_OFFERS_AVAILABLE_IN,<ЧАС>
TID_SHOP_TICKETS_AVAILABLE_FOR,<ЧАС>
TID_SHOP_DISCOUNT,-<СУМА>%
TID_SHOP_OFFER_TITLE_0,БЕЗКОШТОВНА КОРОБКА
TID_SHOP_OFFER_TITLE_1,МОНЕТИ
TID_SHOP_OFFER_TITLE_6,КОРОБКА ДЛЯ БІЙКИ
TID_SHOP_OFFER_TITLE_7,Квитки
TID_SHOP_OFFER_TITLE_8,ТОЧКИ ХАРЧУВАННЯ
TID_SHOP_OFFER_TITLE_9,УДВОИТЕЛЬ ТОКЕНІВ
TID_SHOP_OFFER_TITLE_10,МЕГА БОКС
TID_SHOP_OFFER_TITLE_12,ТОЧКИ ХАРЧУВАННЯ
TID_SHOP_OFFER_TITLE_14,ВЕЛИКА КОРОБКА
TID_SHOP_OFFER_TITLE_15,КОРОБКА ДЛЯ БІЙКИ
TID_SHOP_OFFER_TITLE_16,САМОЦВІТИ
TID_SHOP_OFFER_TITLE_17,ЗОРЯНІ ОЧКИ
TID_SHOP_OFFER_TITLE_19,НОВИЙ ПІН-КОД
TID_SHOP_OFFER_TITLE_20,НАБІР ШПИЛЬОК
TID_SHOP_OFFER_TITLE_21,НАБІР ШПИЛЬОК
TID_SHOP_OFFER_TITLE_22,НАБІР ШПИЛЬОК ДЛЯ
TID_SHOP_OFFER_TITLE_23,<РІДКІСТЬ> БУЛАВКА
TID_SHOP_OFFER_TITLE_27,<РАРИТЕТ> НАБІР ШПИЛЬОК
TID_EMOTE_RARITY_0,Звичайний
TID_EMOTE_RARITY_1,Рідкісний
TID_EMOTE_RARITY_2,ЕПІЧНО
TID_EMOTE_RARITY_3,Легендарні
TID_SHOP_OFFER_DESC_GOLD,"Використовуйте монети, щоб оновити своїх Забіяк"
TID_SHOP_OFFER_ANY_BRAWLER,НА БУДЬ-якому\nBRAWLER
TID_SHOP_OFFER_ANY_BRAWLER_DESC,На будь-бешкетника!
TID_PURCHASE_OFFER_POPUP_TITLE,Підтвердити покупку
TID_PURCHASE_OFFER_POPUP_TITLE_FREE,Безкоштовна нагорода
TID_SHOP_OFFER_NEW_HERO_LABEL,СКАНДАЛІСТ
TID_SHOP_OFFER_NEW_SKIN_LABEL,Шкіра
TID_SHOP_OFFER_CLUB_SKIN_LABEL,КЛУБНА ШКІРА
TID_SHOP_OFFER_HERO_POWER_TITLE,ТОЧКИ ХАРЧУВАННЯ
TID_SHOP_TICKET_PURCHASE_ERROR_4,Не можу купити. На кожен захід дозволяється тільки 1 покупка в упаковці
TID_SHOP_OFFER_NEW,НОВЕ
TID_GATCHA_BOX_TITLE_2,КОРОБКА ДЛЯ БІЙКИ
TID_GATCHA_BOX_TITLE_3,МЕГА БОКС
TID_SHOP_HERO_PURCHASE_CONFIRM_LABEL,НОВИЙ СКАНДАЛІСТ
TID_GATCHA_BOX_INFO_2,"Містить нового Скандаліста, або Гаджет, або Зоряну силу, або Монети і Окуляри сили для двох скандалістів. Деякі коробки містять бонусний жетон Удвоителя!"
TID_GATCHA_BOX_INFO_3,\n\n<СУМА> помножена на розмір однієї коробки для Бійки.
TID_SHOP_OFFER_INFO_0,Це безкоштовно. Насолоджуйтесь!
TID_SHOP_OFFER_INFO_1,"Містить <КІЛЬКІСТЬ> Монет. Використовуйте монети, щоб модернізувати своїх Забіяк."
TID_SHOP_OFFER_INFO_2,Розблокуйте випадкового <РАРИТЕТНОГО> Скандаліста!
TID_SHOP_OFFER_INFO_3,Розблокуйте нового Скандаліста!
TID_SHOP_OFFER_INFO_6,"Коробки для бійки можуть містити Забіяк, окуляри сили, монети і багато чого іншого!"
TID_SHOP_OFFER_INFO_7,"Містить <СУМА> квитків на захід. Використовуйте квитки на події, щоб грати в квиткові події."
TID_SHOP_OFFER_INFO_8,"Містить <КІЛЬКІСТЬ> очок сили. Збирайте окуляри сили, щоб розблокувати апгрейди Brawler!"
TID_SHOP_OFFER_INFO_9,"Подвоює наступне КІЛЬКІСТЬ жетонів, які ви отримуєте від Битв!"
TID_SHOP_OFFER_INFO_10,"У мега-боксах в десять разів більше смакоти, ніж у звичайних коробках Brawl!"
TID_SHOP_OFFER_INFO_12,"Ви можете вибрати Скандаліста, який отримує очки сили"
TID_SHOP_OFFER_INFO_13,Розблокуйте новий слот для подій
TID_SHOP_OFFER_INFO_14,"У великих коробках в три рази більше смакоти, ніж у звичайних коробках для бійки!"
TID_SHOP_OFFER_INFO_16,Містить <КІЛЬКІСТЬ> дорогоцінних каменів
TID_SHOP_OFFER_INFO_18,Розблокуйте КВЕСТИ і отримаєте більше жетонів за Brawl Pass
TID_SHOP_OFFER_INFO_19,Новий pin-код для <BRAWLER>!
TID_SHOP_OFFER_INFO_20,Містить набір пінів <AMOUNT>. Використовуйте їх для спілкування з іншими гравцями!
TID_SHOP_OFFER_INFO_21,Пакет містить 2 загальних піна і 1 Рідкісний або Епічний пін для будь-якого розблокованого Скандаліста з наступними ймовірностями:\nRare Pin: <Rare>%\nEpic Pin: <Epic>%
TID_SHOP_OFFER_INFO_22,"Пакет містить 2 загальних піна і 1 Рідкісний або Епічний пін для <BRAWLER>, з такими ймовірностями:\n\nRare Pin: <Rare>%\nEpic Pin: <Epic>%"
TID_SHOP_OFFER_INFO_23,Містить 1 новий пін-код <RARITY>. Використовуйте пін-коди для спілкування з іншими гравцями!
TID_SHOP_OFFER_INFO_27,Містить 3 нових піна <RARITY>. Використовуйте їх для спілкування з іншими гравцями!
TID_SHOP_OFFER_INFO_30,"Розблокуйте нового Скандаліста, підвищеної до рівня <LVL>!"
TID_SHOP_OFFER_INFO_31,"Розблокуйте випадкового <RARITY> Скандаліста, підвищеної до рівня <LVL>!"
TID_SHOP_OFFER_INFO_32,"Жетони шестерень, щоб створювати і модернізувати свої шестерні!"
TID_SHOP_OFFER_INFO_33,Використовуйте лом для крафта і оновлення шестерень!
TID_SHOP_OFFER_HOR_NEW,НОВЕ
TID_SHOP_OFFER_HOR_RARITY,<c<COLOR>><NAME></c>
TID_SHOP_OFFER_HOR_BRAWLER,СКАНДАЛІСТ
TID_SHOP_OFFER_HOR_POPUP_RARITY,НОВИЙ <c<COLOR>><NAME></c>
TID_SHOP_OFFER_HOR_POPUP_BRAWLER,СКАНДАЛІСТ
TID_SHOP_SKIN_OFFER,ПРОПОЗИЦІЯ ШКІРИ
TID_SHOP_OFFER_EXPIRED,Закінчився термін дії пропозиції
TID_SKINS_AD_TITLE,ДОСТУПНІ НОВІ СКІНИ
TID_SKINS_AD_OK,ОК
TID_SKINS_AD_INFO,Перегляньте нові скіни на екрані Brawlers!
TID_TERMS_OF_SERVICE_BUTTON,Умови обслуговування
TID_IMMUNE,Імунітет
TID_BATTLE_END_PROCEED,ПРИСТУПАЙТЕ
TID_HINT_TAP_TO_MOVE_1,Зберіть ДОРОГОЦІННІ КАМЕНІ <ce662f9>з середини карти
TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL_1,Направте Супер в бік ворога!
TID_HINT_SHOOT_1,<ce662f9>ДОРОГОЦІННІ КАМЕНІ</c> вискакують із дірки посередині!
TID_HINT_DRAG_TO_ULTI_1,Тепер стріляйте в свого СУПЕР з червоною палицею!
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT_TITLE,Новий вхід в Ігровий центр
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT,Ви хочете зберегти свою поточну гру в цій облікового запису Game Center?
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT_TITLE,Оповіщення облікового запису Google
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT,Ви хочете завантажити гру <name>з рівнем досвіду <number>? Увага: поступ у поточній грі буде втрачено.
TID_BOUND_TO_OTHER_ACCOUNT_LOAD_VILLAGE_TITLE,Завантажити гру?
TID_BUTTON_VILLAGE_LOAD,Навантаження
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE,Попередження ігрового центру
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT,Ви хочете завантажити гру <name>з рівнем досвіду <number>? Увага: Поступ у поточній грі буде втрачено.
TID_BUTTON_AVATAR_LOAD,Навантаження
TID_SETTINGS_SCREEN_TITLE,Налаштування
TID_SETTINGS_MUSIC,Музика
TID_SETTINGS_SFX,ЗВУКОВІ ЕФЕКТИ
TID_SETTINGS_OFF,ВИМКНЕНО
TID_SETTINGS_ON,НА
TID_SETTINGS_LANGUAGE,мова
TID_ACCOUNT,Пристрої
TID_LINK_DEVICE_BUTTON,Зв'язати пристрій
TID_SETTINGS_FACEBOOK,Друзі
TID_CHANGE_NAME_BUTTON,Змінити ім'я
TID_CREDITS_BUTTON,Реквізити
TID_PRIVACY_POLICY_BUTTON,Політика конфіденційності
TID_PARENTS_GUIDE_BUTTON,Керівництво для батьків
TID_MULTIDEVICE_INFO,"Увійдіть у систему, використовуючи свій обліковий запис Game Center, щоб захистити свій прогрес і грати з кількома пристроями iOS."
TID_SETTINGS_GOOGLE,Вхід в Google Play
TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED,Підключений
TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED,Контакти
TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED_UP,ПІДКЛЮЧЕНИЙ
TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED_UP,Контакти
TID_FAQ_BUTTON,Допомога та Підтримка
TID_ABOUT_TERMS,"Все використання даного програмного забезпечення регулюється Правилами та Умовами, а також Політикою конфіденційності за адресою: www.supercell.com."
TID_ABOUT,Кредити\n\n<імена>\n\nBrawl Stars ™ <версія>\nCopyright 2016-2022 Supercell Ltd. Всі права захищені.\n<extracopyright>\n<terms>
TID_IAP_TRANSACTION_PENDING,"Будь ласка, зачекайте. Угода перебуває на розгляді."
TID_RATE_APP_TITLE,Оцініть Brawl Stars
TID_RATE_APP_MESSAGE,"Будь ласка, оцініть або переглянути Brawl Stars в App Store, щоб дати нам цінний відгук!"
TID_BUTTON_RATE_APP_LATER,Пізніше
TID_BUTTON_RATE_APP_REVIEW,Огляд
TID_BUTTON_RATE_APP_NEVER,Ніколи
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_TITLE,Розблокування облікового запису недоступна
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE,"Розблокування облікового запису на даний момент недоступна. Будь ласка, спробуйте ще раз пізніше!"
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_BUTTON,Спробуй ще раз
TID_ACCOUNT_LOCKED_INVALID_CODE,Невірний код розблокування!
TID_ACCOUNT_LOCKED_TITLE,Обліковий запис заблокований
TID_ACCONT_LOCKED_TEXT,"Ваш обліковий запис була заблокована з міркувань безпеки. Зверніться у службу підтримки, щоб відновити свою обліковий запис."
TID_ACCOUNT_LOCKED_TEXT2,Введіть код розблокування тут:
TID_HERO_LIST_CONFIRM_GEM_GATCHA,Натисніть для підтвердження
TID_NOT_ENOUGH_GEMS_TITLE,Не вистачає Дорогоцінних каменів
TID_NOT_ENOUGH_GEMS_INFO,"у тебе скінчилися дорогоцінні камені. Відвідайте магазин, щоб отримати ще трохи!"
TID_NOT_ENOUGH_GEMS_GO_TO_SHOP,Піти в магазин
TID_COIN_DOUBLER_TITLE,Купівля Удвоителя токенів
TID_COIN_DOUBLER_TITLE_WITH_COINS,Додавання токенів в Удвоитель токенів
TID_COIN_DOUBLER_INFO,"Подвоює наступні <c2edd1b><AMOUNT></c> Токени, які ви заробляєте в Битвах."
TID_COIN_DOUBLER_INFO_WITH_COINS,"Додайте токени <c2edd1b><AMOUNT></c> у свій удвоитель токенів.\n\nToken Doubler подвоює токени, які ви заробляєте в битвах."
TID_GEM_PRICE_OK,<ВАРТІСТЬ>
TID_GEM_PRICE_WARN,<ВАРТІСТЬ>
TID_STAT_PER_DYNAMITE,Шкоди за динаміт
TID_STARS_1,Бережись: у тебе є ДОРОГОЦІННИЙ камінь <ce662f9>!
TID_STARS_2,Обережно: у вас є ДОРОГОЦІННІ камені <ce662f9>!
TID_STARS_3,Бережись: у тебе багато ДОРОГОЦІННОГО каміння <ce662f9>!
TID_STARS_4,Бережіться: у вас є тонна ДОРОГОЦІННОГО каміння <ce662f9>!
TID_GATCHA_BUTTON_TITLE,КОРОБКА ДЛЯ БІЙКИ
TID_1ST_WIN_CHEST_BUTTON_TITLE,ВЕЛИКА КОРОБКА
TID_EVENT_LOCKED,Заблокований
TID_SPECIAL_EVENT_TITLE_TOP,СПЕЦІАЛЬНИЙ ЗАХІД:
TID_SPECIAL_EVENT_STATUS_ACTIVE,активний для
TID_SPECIAL_EVENT_STATUS_FUTURE,починаючи з
TID_EVENT_COMING_UP_INFO,Це подія відкриється в <TIME>
TID_ROCKET_BEACH_SKIN,БІЧ БРОК
TID_CACTUS_PINK_SKIN_OLD,СТУСАНИ СПАЙК
TID_SHAMAN_PANDA_SKIN,ПАНДА НІТА
TID_CROW_WHITE_SKIN,БІЛА ВОРОНА
TID_BULL_HAIR_SKIN,БИК-ВІКІНГ
TID_TRICKSHOT_GOLD_SKIN_OLD,ЗОЛОТИЙ МЕДАЛІСТ РИКОШЕТ
TID_BARKEEP_GOLD_SKIN,ЗОЛОТИЙ ЯЧМІНЬ
TID_GUNSLINGER_ROCKSTAR_SKIN,РОКСТАР КОЛЬТ
TID_STAT_HEAL,Зцілити
TID_LUCHADOR_RUDO_SKIN,EL RUDO PRIMO
TID_HERO_INFO_PURCHASE_SKIN_LABEL,Купити
TID_EVENTS_NEW_EVENT,Нове Подія!
TID_SETTINGS_BRAWLHINTS,Бойові підказки
TID_COLLECTED_COINS_INFO,Ви зібрали токени <CURRENT> з максимуму <MAX> від <PLANET>
TID_COLLECTED_COINS_INFO_CAPPED,"Ви зібрали всі Жетони, доступні на <ПЛАНЕТІ>"
TID_TICKET_COUNTER_INFO,Витратьте квитки на Brawl тут!
TID_NOT_ENOUGH_TICKETS,Не вистачає квитків
TID_EVENT_LIST_GAME_ROOMS,НОВА КОМАНДА
TID_EVENT_LIST_WELCOME,Ласкаво просимо в Brawl Stars!
TID_COOP,Кооперативна Бійка
TID_COOP_NOT_SUPPORTED,Кооперативна бійка не підтримується у цій події
TID_PRACTISE_NOT_SUPPORTED,Практика не підтримується у цьому випадку
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT_TITLE,Новий вхід в Facebook
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT,Ви хочете зв'язати свою поточну гру з вашим обліковим записом Facebook?
TID_BUTTON_OKAY,Добре
TID_SELECT_PLAYER_THUMBNAIL_FAIL_4,Для цього значка потрібно <ГЕРОЙ>
TID_HERO_PORTRAIT_CRAFT_COST,<cffffff><ВАРТІСТЬ></c>
TID_HERO_PORTRAIT_CRAFT_COST_NEG,<c999999><ВАРТІСТЬ></c>
TID_EVENT_POPUP_CREATE_TEAM_INFO,Запрошуйте друзів і грайте разом
TID_EVENT_POPUP_HIGHSTAKES_INFO,"Ви можете витратити кілька квитків за гру, щоб отримати кращі нагороди."
TID_EVENT_POPUP_GMV_LABEL_TEAM,3 проти 3
TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE,Єдиний залишився в живих
TID_EVENT_POPUP_GMV_LABEL_BOSS_FIGHT,5 проти 1
TID_EVENT_POPUP_GMV_LABEL_COOP_SURVIVAL,Три гравця проти Бандитів Робо
TID_HIGHSTAKES_REWARDS,Нагороди x<КІЛЬКІСТЬ>
TID_HIGHSTAKES_COST,Квитки: <ГРАФ>
TID_POPUP_ANDROID_EXIT_TITLE,Exit Brawl Stars?
TID_POPUP_ANDROID_EXIT,"Ви впевнені, що хочете вийти з Brawl Stars?"
TID_ROOM_NOT_SUPPORTED,Команди не підтримуються в цьому подію
TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE,Покупка не вдалася
TID_ERROR_POP_UP_PURCHASE_FAILED,"Білінговий сервер не відповідає. Будь ласка, спробуйте ще раз пізніше."
TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON,ОК
TID_IAP_NOT_AVAILABLE,"Будь ласка,включіть покупки в додатку в налаштуваннях обмежень вашого пристрою."
TID_NEWS_TITLE,НОВИНИ
TID_STAT_DAMAGE_PER_ARROW,Шкоди за стрілу
TID_STAT_DAMAGE_PER_MINE,Шкоди за пастку
TID_STAT_DAMAGE_PER_SPIKE,Шкоди за спайк
TID_STAT_DAMAGE_PER_DAGGER,Шкоди за кинджал
TID_FRIENDS_FACEBOOK_CONNECTED,Facebook підключений
TID_FRIENDS_FACEBOOK_NOT_CONNECTED,"Підключіться до Facebook, щоб побачити своїх друзів на Facebook тут!"
TID_FRIENDS_CONNECT_INFO,"Підключайтеся до соціальних мереж, щоб бачити тут своїх друзів!"
TID_FRIENDS_NO_FRIENDS,Немає друзів
TID_FRIENDS_SUGGESTIONS_SEND_REQUEST,ВІДПРАВИТИ ЗАПИТ В ДРУЗІ
TID_FRIENDS_TITLE_1_NO_COUNT,Друзі
TID_FRIENDS_TITLE_1,ДРУЗІ (<COUNT>)
TID_FRIENDS_TITLE_2,ЗАПРОПОНУВАВ ДРУЗЯМ
TID_FRIENDS_TITLE_3,ДРУГ ЗАПРОШУЄ
TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_MULT,<COUNT> НЕЩОДАВНО РАЗОМ ГРАЛИ У БОЇ
TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_ONE,ОДИН БІЙ НЕЩОДАВНО ГРАЛИ РАЗОМ
TID_FRIENDS_NO_ENTRIES_TAB_2,НІЯКИХ ДРУЖНІХ ПРОПОЗИЦІЙ
TID_FRIENDS_NO_ENTRIES_TAB_3,НІ ОДИН ДРУГ НЕ ЗАПРОШУЄ
TID_FRIENDS_CANNOT_REMOVE_FRIEND,Ви не можете видалити друзів із своїх соціальних мереж.
TID_FRIEND_REQUEST_ACCEPT,ПРИЙНЯТИ
TID_FRIEND_REQUEST_REJECT,ВІДХИЛИТИ
TID_FRIEND_REQUEST_REASON_0,<ПУСТО>
TID_FRIEND_REQUEST_REASON_1,З КЛУБУ
TID_FRIEND_REQUEST_REASON_2,ВІД КОМАНДИ
TID_FRIEND_REQUEST_REASON_3,"<СУМА> БИТВИ, ЗІГРАНІ РАЗОМ ОСТАННІМ ЧАСОМ"
TID_FRIEND_REQUEST_REASON_4,"<СУМА> БИТВИ, ЗІГРАНІ РАЗОМ ОСТАННІМ ЧАСОМ"
TID_FRIEND_POPOVER_PROFILE,Профіль
TID_FRIEND_POPOVER_REMOVE,ВИДАЛИТИ
TID_FRIEND_POPOVER_SPECTATE,ГЛЯДАЧ
TID_FRIEND_POPOVER_YOU,Це ти
TID_REMOVE_FRIEND_POPUP_REMOVE,ВИДАЛИТИ
TID_REMOVE_FRIEND_POPUP_CANCEL,Скасування
TID_REMOVE_FRIEND_POPUP_TITLE,ПІДТВЕРДИТИ ВИДАЛЕННЯ ОДНОГО
TID_REMOVE_FRIEND_POPUP_BODY,"Ви впевнені, що хочете видалити <ІМ'Я> зі свого списку друзів?"
TID_UNLOCK_SKIN_CONTENT,\n\nBUY <ІМ'Я> СКІН
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE,З'єднання втрачено
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE,До цієї гри підключається ще один пристрій.
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON,Перезарядка
TID_BAD_CONNECTION,Погане з'єднання
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT_TITLE,Попередження Facebook
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT,Ця обліковий запис Facebook вже пов'язана з іншою грою Brawl Stars. Замість цього зв'яжіть його з вашої поточної грою?
TID_KAKAO_BOUND_TO_OTHER_ACCOUNT_TITLE,Kakao Alert
TID_KAKAO_BOUND_TO_OTHER_ACCOUNT,Цей аккаунт Kakao вже пов'язаний з іншою грою Brawl Stars. Замість цього зв'яжіть його з вашої поточної грою?
TID_LINE_BOUND_TO_OTHER_ACCOUNT_TITLE,ЛІНІЙНЕ Оповіщення
TID_LINE_BOUND_TO_OTHER_ACCOUNT,Ця ЛІНІЙНА обліковий запис вже пов'язана з іншою грою Brawl Stars. Замість цього зв'яжіть його з вашої поточної грою?
TID_TEAM_FREE_EVENT_REWARD_CLAIMED,Заявлена нагорода за безкоштовне подія
TID_GEM_BUY_CONFIRMATION,<СУМА> Отримані коштовні камені!
TID_BLOCKED_TEAM_READY,Неможливо відобразити це під час готовності
TID_TEAM_CANNOT_INVITE_WHILE_READY,"Неможливо запросити, поки ГОТОВИЙ"
TID_SHOTGUN_BANDITA_SKIN,БАНДИТА ШЕЛЛІ
TID_SHUTDOWN_STARTED,Гра закривається на короткий перерву на технічне обслуговування через 5 хвилин.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG,"На жаль, сервери знаходяться в процесі технічного обслуговування. Будь ласка, повторіть спробу через кілька годин."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS,"На жаль, сервери знаходяться в процесі технічного обслуговування. Будь ласка, повторіть спробу через пару годин."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,"На жаль, сервери знаходяться в процесі технічного обслуговування. Будь ласка, повторіть спробу приблизно через півтори години."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,"На жаль, сервери знаходяться в процесі технічного обслуговування. Будь ласка, повторіть спробу приблизно через годину."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES,"На жаль, сервери знаходяться в процесі технічного обслуговування. Будь ласка, повторіть спробу приблизно через кілька хвилин."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON,"На жаль, сервери знаходяться в процесі технічного обслуговування. Будь ласка, повторіть спробу через кілька хвилин."
TID_SHUTDOWN_BATTLE_DISABLED,"Гра закривається на технічне обслуговування через кілька хвилин. Запуск нових битв відключений до тих пір, поки не закінчиться технічне обслуговування."
TID_TEAM_SEARCH_NO_TEAM_CODE,Введіть код команди.
TID_NO_RIGHTS_TO_ACCEPT_TO_JOIN_REQ,У вас немає доступу до прийняття або відхилення запитів на приєднання.
TID_CLAN_RESPONSE_71,У літніх людей є кулдаун між ударами
TID_STAT_MAX_DAMAGE,Шкоди на максимальній дальності
TID_STAT_DAMAGE_PER_BOMB,Шкода на гранату
TID_ELDER_KICK_FAIL_COOLDOWN,Ви нещодавно зацідили члена Клубу. Спробуйте ще раз <time>.
TID_LUCHADOR_KING_SKIN,EL REY PRIMO
TID_PLAYER_DEFEATED_BR,Скандаліст переможений
TID_BALL_1,Чаша заднього двору
TID_HINT_VOLLEYBALL_PUSH_BALL,Доторкніться до м'яча <cdaa520>!
TID_HINT_VOLLEYBALL_RETURN_BALL,"Будьте там, де м'яч приземляється<cdaa520>, щоб відправити його назад!"
TID_HINT_VOLLEYBALL_PREVENT_RETURN,"Тримайте супротивників подалі від м'яча <cdaa520>, щоб приземлитися і забити гол!"
TID_HINT_HOLD_THE_BALL_TAKE_BALL,Отримайте трофей <cdaa520>!
TID_HINT_HOLD_THE_BALL_PROTECT,Захистіть носій трофею<cdaa520>!
TID_HINT_HOLD_THE_BALL_HOLD_ON,Тримайся за трофей <cdaa520>!
TID_HINT_GET_BALL,Отримайте м'яч <cdaa520>!
TID_LASER_BALL_INTRO_TEXT,"Якби забили два голи, щоб виграти!"
TID_AFK_WARNING,"Попередження про холостому ходу! Будь ласка, рухайтеся!"
TID_AFK_DISCONNECTED_MSG,Ви були відключені від бою через холостого ходу або поганий мережі
TID_AFK_BANNED_MSG,"Ви відсторонені від поточної битви з-за холостого ходу або поганий мережі. Вам буде дозволено повернутися в гру, як тільки битва закінчиться."
TID_AFK_DISCONNECTED_TITLE,Відключення холостого ходу
TID_AFK_BANNED_TITLE,Заборонений до бою
TID_AFK_RELOAD,Перезарядка
TID_GAME_MODE_7,ВЕЛИКА ГРА
TID_GAME_MODE_7_DESC,"П'ять гравців намагаються перемогти ВЕЛИКОГО СКАНДАЛІСТА. Після ВЕЛИКОГО СКАНДАЛІСТА у вас буде величезна перевага в силі і величезна кількість здоров'я. Киньте виклик мисливцям і залишайтеся в грі як можна довше!Один з п'яти мисливців, вам потрібно буде працювати разом зі своєю командою, щоб знищити ВЕЛИКОГО СКАНДАЛІСТА до того, як закінчиться час!"
TID_BOSS_INTRO_TEXT_ATTACK,Переможете ВЕЛИКОГО СКАНДАЛІСТА!
TID_BOSS_INTRO_TEXT_DEFEND,Ти ВЕЛИКИЙ СКАНДАЛІСТ!
TID_BOSS_1,Каньйон Лиха
TID_SEASON_END_POPUP_TITLE,ТРОФЕЙНА ЛІГА ЗАКІНЧИЛАСЯ
TID_SEASON_END_POPUP_REWARD,ТРОФЕЙ ЛІГИ
TID_SEASON_END_POPUP_GOLD_VALUE,<ЗНАЧЕННЯ>
TID_COIN_META_MIGRATION_TITLE,Важливі зміни!
TID_COIN_META_MIGRATION_OK,ГРАТИ ПІДРУЧНИК
TID_COIN_META_MIGRATION_TXT_1,"Brawl Stars має нову систему апгрейда, де Забіяки можуть підвищуватися після отримання достатньої кількості очок сили. Ваш існуючий прогрес був перетворений в рівні Brawler."
TID_COIN_META_MIGRATION_TXT_2,"Ви отримуєте коробки Brawl за невикористані жетони оновлення і ще кілька, щоб переконатися, що ви не втратите прогрес."
TID_COIN_META_MIGRATION_TXT_3,Тепер гра ведеться в ландшафтному режимі і управляється двома джойстиками.
TID_COIN_META_MIGRATION_TXT_4,COIN BOOSTER тепер зник і перетворився в дорогоцінні камені.
TID_BOLTS_MIGRATION_TITLE,Важливі зміни!
TID_BOLTS_MIGRATION_OK,ОК
TID_BOLTS_MIGRATION_INFO,"Нова система оновлення Brawler більше не використовує Elixir. Вам були повернуті жетони оновлення <BOLTS> за ваш Еліксир і попередні апгрейди Brawler. Жетони оновлення, щоб оновити своїх забіяк! Дублікати забіяк і, отже, фішки були видалені з гри. Вам були повернуті Дорогоцінні камені <GEMS> за ваші фішки. Насолоджуйтесь!"
TID_BOLTS_MIGRATION_ELIXER_TOKEN,ВАШ ЕЛІКСИР СТАВ ЖЕТОНАМИ ОНОВЛЕННЯ
TID_BOLTS_MIGRATION_CHIP_GEM,ВАШІ ФІШКИ БУЛИ ЗНЯТІ НА ДОРОГОЦІННІ КАМЕНІ
TID_STAT_HEALING_PER_SEC,Зцілення в секунду
TID_STAT_DAMAGE_PER_CARD,Шкода на мапу
TID_OVERTIME,Понаднормові!
